display_name,cited_by_count,h_index,works_count,country_code,id,works_api_url
Hannah Gordon,19.0,2.0,3.0,US,https://openalex.org/A5033939304,https://api.openalex.org/works?filter=author.id:A5033939304
Mingcheng Chen,33.0,2.0,3.0,US,https://openalex.org/A5069011659,https://api.openalex.org/works?filter=author.id:A5069011659
Boulevard Haussmann,15.0,1.0,1.0,,https://openalex.org/A5004923254,https://api.openalex.org/works?filter=author.id:A5004923254
Peter Bergen,12.0,1.0,1.0,US,https://openalex.org/A5092893770,https://api.openalex.org/works?filter=author.id:A5092893770
Michael K. Reiter,27795.0,80.0,455.0,US,https://openalex.org/A5074117167,https://api.openalex.org/works?filter=author.id:A5074117167
Álvaro L. G. A. Coutinho,1854.0,24.0,293.0,BR,https://openalex.org/A5011203415,https://api.openalex.org/works?filter=author.id:A5011203415
William Croft,25425.0,59.0,266.0,US,https://openalex.org/A5114948823,https://api.openalex.org/works?filter=author.id:A5114948823
Robert L. Mach,11328.0,64.0,254.0,AT,https://openalex.org/A5024407452,https://api.openalex.org/works?filter=author.id:A5024407452
Jerónimo Castrillón,1518.0,20.0,196.0,DE,https://openalex.org/A5030115692,https://api.openalex.org/works?filter=author.id:A5030115692
Luis Montesano,4399.0,36.0,157.0,ES,https://openalex.org/A5060302183,https://api.openalex.org/works?filter=author.id:A5060302183
Arto Hellas,2213.0,23.0,153.0,FI,https://openalex.org/A5076828114,https://api.openalex.org/works?filter=author.id:A5076828114
Apu Kapadia,4993.0,38.0,151.0,US,https://openalex.org/A5087941663,https://api.openalex.org/works?filter=author.id:A5087941663
Zvonimir Galić,677.0,14.0,146.0,HR,https://openalex.org/A5081581970,https://api.openalex.org/works?filter=author.id:A5081581970
Francesco Vaccarino,2215.0,15.0,109.0,IT,https://openalex.org/A5016656924,https://api.openalex.org/works?filter=author.id:A5016656924
Giovanni Pellegrini,1823.0,21.0,106.0,CH,https://openalex.org/A5059525247,https://api.openalex.org/works?filter=author.id:A5059525247
Christian Kaernbach,3815.0,20.0,71.0,DE,https://openalex.org/A5024294331,https://api.openalex.org/works?filter=author.id:A5024294331
Curtis H. Weiss,1185.0,20.0,64.0,US,https://openalex.org/A5039509731,https://api.openalex.org/works?filter=author.id:A5039509731
David Liben‐Nowell,12259.0,21.0,60.0,US,https://openalex.org/A5021197130,https://api.openalex.org/works?filter=author.id:A5021197130
Gabriela Marcu,1354.0,19.0,60.0,US,https://openalex.org/A5049520222,https://api.openalex.org/works?filter=author.id:A5049520222
Stephanie Zerwas,1410.0,20.0,39.0,US,https://openalex.org/A5014614038,https://api.openalex.org/works?filter=author.id:A5014614038
Reza Hadi Mogavi,301.0,9.0,37.0,CA,https://openalex.org/A5090196793,https://api.openalex.org/works?filter=author.id:A5090196793
Gerald Reif,675.0,15.0,35.0,CH,https://openalex.org/A5044190205,https://api.openalex.org/works?filter=author.id:A5044190205
Wanying Zhao,596.0,5.0,25.0,CZ,https://openalex.org/A5026276193,https://api.openalex.org/works?filter=author.id:A5026276193
Matthew Francisco,1793.0,7.0,17.0,US,https://openalex.org/A5020318194,https://api.openalex.org/works?filter=author.id:A5020318194
Chang Yang,128.0,3.0,4.0,CN,https://openalex.org/A5079087125,https://api.openalex.org/works?filter=author.id:A5079087125
Jonathan Luu,155.0,3.0,3.0,US,https://openalex.org/A5081505300,https://api.openalex.org/works?filter=author.id:A5081505300
Chaitrali Gandhi,112.0,1.0,2.0,US,https://openalex.org/A5011045460,https://api.openalex.org/works?filter=author.id:A5011045460
Jung Hee Son,68.0,2.0,2.0,KR,https://openalex.org/A5087627623,https://api.openalex.org/works?filter=author.id:A5087627623
Xunru Che,17.0,1.0,1.0,US,https://openalex.org/A5085875759,https://api.openalex.org/works?filter=author.id:A5085875759
Anton E. Kunst,37259.0,93.0,731.0,NL,https://openalex.org/A5082008211,https://api.openalex.org/works?filter=author.id:A5082008211
Anirban Dasgupta,16478.0,44.0,280.0,US,https://openalex.org/A5061449196,https://api.openalex.org/works?filter=author.id:A5061449196
Jiwei Li,12782.0,42.0,183.0,CN,https://openalex.org/A5100758099,https://api.openalex.org/works?filter=author.id:A5100758099
Elena Litchman,12870.0,56.0,157.0,US,https://openalex.org/A5001968759,https://api.openalex.org/works?filter=author.id:A5001968759
Min Ju Kang,729.0,16.0,148.0,KR,https://openalex.org/A5018017627,https://api.openalex.org/works?filter=author.id:A5018017627
Jing Wen,2241.0,22.0,131.0,CN,https://openalex.org/A5100715026,https://api.openalex.org/works?filter=author.id:A5100715026
Manuel Puppis,1042.0,15.0,121.0,CH,https://openalex.org/A5077206304,https://api.openalex.org/works?filter=author.id:A5077206304
Siyuan Ma,3434.0,28.0,110.0,CN,https://openalex.org/A5032794241,https://api.openalex.org/works?filter=author.id:A5032794241
Zewei Luo,3321.0,31.0,84.0,CN,https://openalex.org/A5102006860,https://api.openalex.org/works?filter=author.id:A5102006860
Deborah A. Cai,933.0,13.0,59.0,US,https://openalex.org/A5011834068,https://api.openalex.org/works?filter=author.id:A5011834068
Lea David,372.0,10.0,54.0,IE,https://openalex.org/A5007825679,https://api.openalex.org/works?filter=author.id:A5007825679
V. Sivakumar,560.0,12.0,54.0,IN,https://openalex.org/A5065716820,https://api.openalex.org/works?filter=author.id:A5065716820
Sandra Milberg,6817.0,26.0,50.0,CL,https://openalex.org/A5011063478,https://api.openalex.org/works?filter=author.id:A5011063478
Natasha Jennings,813.0,14.0,49.0,AU,https://openalex.org/A5052157334,https://api.openalex.org/works?filter=author.id:A5052157334
Yan Wang,387.0,11.0,45.0,CN,https://openalex.org/A5100321780,https://api.openalex.org/works?filter=author.id:A5100321780
A. M. Gentile,2013.0,20.0,39.0,IT,https://openalex.org/A5109215611,https://api.openalex.org/works?filter=author.id:A5109215611
Lei Han,310.0,8.0,38.0,CN,https://openalex.org/A5101540918,https://api.openalex.org/works?filter=author.id:A5101540918
Megan Brown,640.0,6.0,34.0,US,https://openalex.org/A5072261480,https://api.openalex.org/works?filter=author.id:A5072261480
Lisa-Angelique Lim,643.0,13.0,32.0,AU,https://openalex.org/A5004822730,https://api.openalex.org/works?filter=author.id:A5004822730
Patricia Palacios,192.0,8.0,24.0,AT,https://openalex.org/A5023263538,https://api.openalex.org/works?filter=author.id:A5023263538
Victor Amelkin,204.0,6.0,15.0,US,https://openalex.org/A5054129544,https://api.openalex.org/works?filter=author.id:A5054129544
Saurabh Goorha,744.0,6.0,10.0,US,https://openalex.org/A5072298824,https://api.openalex.org/works?filter=author.id:A5072298824
Lijie Bai,22.0,1.0,10.0,CN,https://openalex.org/A5101191116,https://api.openalex.org/works?filter=author.id:A5101191116
David Coppini,73.0,4.0,9.0,US,https://openalex.org/A5014744423,https://api.openalex.org/works?filter=author.id:A5014744423
Raphaela M. Velho,71.0,3.0,4.0,US,https://openalex.org/A5028924096,https://api.openalex.org/works?filter=author.id:A5028924096
Ciprian M. Crainiceanu,15166.0,64.0,332.0,US,https://openalex.org/A5089030792,https://api.openalex.org/works?filter=author.id:A5089030792
Anca D. Dragan,9049.0,48.0,323.0,US,https://openalex.org/A5005997281,https://api.openalex.org/works?filter=author.id:A5005997281
Guanrong Chen,108088.0,150.0,2208.0,HK,https://openalex.org/A5024633466,https://api.openalex.org/works?filter=author.id:A5024633466
Joshua B. Plotkin,16891.0,63.0,283.0,US,https://openalex.org/A5073702596,https://api.openalex.org/works?filter=author.id:A5073702596
J. Karl Hedrick,23452.0,71.0,492.0,US,https://openalex.org/A5083232991,https://api.openalex.org/works?filter=author.id:A5083232991
Axel Lindner,2098.0,22.0,266.0,DE,https://openalex.org/A5008742831,https://api.openalex.org/works?filter=author.id:A5008742831
Bharat N. Nathwani,9894.0,47.0,168.0,US,https://openalex.org/A5110349197,https://api.openalex.org/works?filter=author.id:A5110349197
Ryo Takahashi,2739.0,27.0,230.0,JP,https://openalex.org/A5100724730,https://api.openalex.org/works?filter=author.id:A5100724730
Sandi W. Smith,4255.0,36.0,156.0,US,https://openalex.org/A5032048031,https://api.openalex.org/works?filter=author.id:A5032048031
Brian Parkinson,7307.0,43.0,184.0,GB,https://openalex.org/A5046189945,https://api.openalex.org/works?filter=author.id:A5046189945
Junyu Gao,3363.0,27.0,125.0,CN,https://openalex.org/A5001848378,https://api.openalex.org/works?filter=author.id:A5001848378
James C. Wetherbe,8067.0,34.0,147.0,US,https://openalex.org/A5070576229,https://api.openalex.org/works?filter=author.id:A5070576229
Mark Leiser,456.0,8.0,131.0,NL,https://openalex.org/A5032408800,https://api.openalex.org/works?filter=author.id:A5032408800
Xian Yang,1204.0,16.0,109.0,CN,https://openalex.org/A5018266083,https://api.openalex.org/works?filter=author.id:A5018266083
Si-Bog Park,1057.0,16.0,102.0,KR,https://openalex.org/A5081285125,https://api.openalex.org/works?filter=author.id:A5081285125
Jennie E. Brand,4143.0,24.0,71.0,US,https://openalex.org/A5018729691,https://api.openalex.org/works?filter=author.id:A5018729691
Christos Kouimtsidis,1241.0,18.0,97.0,GB,https://openalex.org/A5076503587,https://api.openalex.org/works?filter=author.id:A5076503587
Tsan‐Kuo Chang,1803.0,25.0,68.0,TW,https://openalex.org/A5102030180,https://api.openalex.org/works?filter=author.id:A5102030180
Giovanni Quattrone,1377.0,21.0,84.0,IT,https://openalex.org/A5074995102,https://api.openalex.org/works?filter=author.id:A5074995102
Abeba Birhane,2505.0,21.0,63.0,IE,https://openalex.org/A5038758207,https://api.openalex.org/works?filter=author.id:A5038758207
Anna Soveri,3400.0,28.0,71.0,FI,https://openalex.org/A5058835700,https://api.openalex.org/works?filter=author.id:A5058835700
Aaron C. Weidman,1319.0,16.0,49.0,US,https://openalex.org/A5017686879,https://api.openalex.org/works?filter=author.id:A5017686879
Franck Pérot,1020.0,17.0,46.0,FR,https://openalex.org/A5007859692,https://api.openalex.org/works?filter=author.id:A5007859692
David S. Lee,8214.0,21.0,48.0,US,https://openalex.org/A5100648336,https://api.openalex.org/works?filter=author.id:A5100648336
Robert G. Riedel,1081.0,9.0,43.0,US,https://openalex.org/A5026643216,https://api.openalex.org/works?filter=author.id:A5026643216
Arun Tejasvi Chaganty,608.0,14.0,32.0,US,https://openalex.org/A5024150057,https://api.openalex.org/works?filter=author.id:A5024150057
Frederick Callaway,562.0,11.0,41.0,US,https://openalex.org/A5019568596,https://api.openalex.org/works?filter=author.id:A5019568596
