id,publication_year,cited_by_count,author_ids
https://openalex.org/W1973398808,2014,136,"['https://openalex.org/A5089539629', 'https://openalex.org/A5083896973', 'https://openalex.org/A5089413311', 'https://openalex.org/A5100550303', 'https://openalex.org/A5110422746', 'https://openalex.org/A5014947418', 'https://openalex.org/A5035687002']"
https://openalex.org/W3013603216,2020,115,"['https://openalex.org/A5065827571', 'https://openalex.org/A5070491108', 'https://openalex.org/A5024396732', 'https://openalex.org/A5075228752', 'https://openalex.org/A5047726306', 'https://openalex.org/A5069885186', 'https://openalex.org/A5059787882']"
https://openalex.org/W3104257895,2020,114,"['https://openalex.org/A5044588650', 'https://openalex.org/A5089413311']"
https://openalex.org/W2028111024,2015,112,"['https://openalex.org/A5089413311', 'https://openalex.org/A5100550303', 'https://openalex.org/A5069326020', 'https://openalex.org/A5084649058', 'https://openalex.org/A5089539629']"
https://openalex.org/W3013160937,2020,109,"['https://openalex.org/A5013727792', 'https://openalex.org/A5112523317', 'https://openalex.org/A5084956572', 'https://openalex.org/A5077688880', 'https://openalex.org/A5081236916', 'https://openalex.org/A5048877432', 'https://openalex.org/A5034372799', 'https://openalex.org/A5083664336', 'https://openalex.org/A5069885186', 'https://openalex.org/A5025218537', 'https://openalex.org/A5034546418', 'https://openalex.org/A5075585231', 'https://openalex.org/A5026852712', 'https://openalex.org/A5015080044', 'https://openalex.org/A5028549815', 'https://openalex.org/A5111367077', 'https://openalex.org/A5064897268', 'https://openalex.org/A5009136464', 'https://openalex.org/A5105769246', 'https://openalex.org/A5082358191', 'https://openalex.org/A5026230453', 'https://openalex.org/A5059787882', 'https://openalex.org/A5003579441', 'https://openalex.org/A5052308997']"
https://openalex.org/W2235079663,2014,99,"['https://openalex.org/A5100550303', 'https://openalex.org/A5089413311', 'https://openalex.org/A5089539629']"
https://openalex.org/W2509938821,2016,91,"['https://openalex.org/A5014325236', 'https://openalex.org/A5064480048', 'https://openalex.org/A5100654454', 'https://openalex.org/A5100674437', 'https://openalex.org/A5047912015', 'https://openalex.org/A5100377804', 'https://openalex.org/A5015755413', 'https://openalex.org/A5053349373']"
https://openalex.org/W2784210701,2018,90,"['https://openalex.org/A5101781638', 'https://openalex.org/A5075085355', 'https://openalex.org/A5088307852', 'https://openalex.org/A5024942519', 'https://openalex.org/A5078575135', 'https://openalex.org/A5021090586', 'https://openalex.org/A5016657852']"
https://openalex.org/W3032880827,2020,89,"['https://openalex.org/A5030437398', 'https://openalex.org/A5012960540', 'https://openalex.org/A5003223014', 'https://openalex.org/A5023968831', 'https://openalex.org/A5033114427', 'https://openalex.org/A5102924244', 'https://openalex.org/A5029915724', 'https://openalex.org/A5009092465', 'https://openalex.org/A5042614964', 'https://openalex.org/A5034839546', 'https://openalex.org/A5080142325', 'https://openalex.org/A5009016780', 'https://openalex.org/A5100712413', 'https://openalex.org/A5005506115', 'https://openalex.org/A5036233486', 'https://openalex.org/A5064373793', 'https://openalex.org/A5065939739', 'https://openalex.org/A5029186201', 'https://openalex.org/A5031843089']"
https://openalex.org/W2941601021,2019,87,"['https://openalex.org/A5089413311', 'https://openalex.org/A5075198678', 'https://openalex.org/A5018504015', 'https://openalex.org/A5084649058']"
https://openalex.org/W2941915841,2019,83,"['https://openalex.org/A5089413311', 'https://openalex.org/A5084649058', 'https://openalex.org/A5029015119', 'https://openalex.org/A5017713240', 'https://openalex.org/A5087088138']"
https://openalex.org/W3203410060,2021,82,"['https://openalex.org/A5008343173', 'https://openalex.org/A5022109854', 'https://openalex.org/A5073873557', 'https://openalex.org/A5085734631', 'https://openalex.org/A5021090586', 'https://openalex.org/A5031160024', 'https://openalex.org/A5029100305', 'https://openalex.org/A5010458603', 'https://openalex.org/A5070022287', 'https://openalex.org/A5064296191', 'https://openalex.org/A5071000982', 'https://openalex.org/A5000501122', 'https://openalex.org/A5003322306', 'https://openalex.org/A5016657852', 'https://openalex.org/A5067702903', 'https://openalex.org/A5016894868']"
https://openalex.org/W4206192262,2021,79,"['https://openalex.org/A5039926801', 'https://openalex.org/A5002621773', 'https://openalex.org/A5033829606', 'https://openalex.org/A5035052603', 'https://openalex.org/A5089413311', 'https://openalex.org/A5056142478']"
https://openalex.org/W3022814719,2020,72,"['https://openalex.org/A5109937799', 'https://openalex.org/A5040824554', 'https://openalex.org/A5026789962', 'https://openalex.org/A5014855689', 'https://openalex.org/A5055033421', 'https://openalex.org/A5089413311', 'https://openalex.org/A5021055773']"
https://openalex.org/W3186492090,2021,59,"['https://openalex.org/A5052391231', 'https://openalex.org/A5068178240', 'https://openalex.org/A5039411900', 'https://openalex.org/A5049073875', 'https://openalex.org/A5058408154']"
